7.1750 	WARNING 	Requested an unavailable screen number - using first available.
8.4995 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor='DarkGrey', lineColorSpace='named', lineRGB=array([169., 169., 169.]), lineWidth=1.5, name='unnamed Rect', opacity=1.0, ori=array(0.), pos=array([ 0. , -0.6]), size=array([1., 1.]), units='norm', vertices=ndarray(...), win=Window(...))
8.5000 	EXP 	Created slider_arousal = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, color='LightGray', depth=0, flip=False, font='HelveticaBold', granularity=1, labelHeight=0.05, labels=None, name='slider_arousal', pos=(0, -0.6), readOnly=False, self=UNKNOWN, size=(0.81, 0.05), style=method-wrapper(...), ticks=array([  1,  25,  50,  75, 100]), units='norm', win=Window(...))
8.5188 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([-0.025, -0.3  ]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=2.5)
8.5252 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0, pos=array([ 0. , -0.9]), rgb=array([255., 255., 255.]), text='Press {Space} to continue', units='norm', win=Window(...), wrapWidth=1)
8.5355 	EXP 	Imported CueRatings.xlsx as conditions, 18 conditions, 2 params
8.5359 	EXP 	Created sequence: random, trialTypes=18, nReps=1, seed=None
8.5362 	EXP 	New trial (rep=0, index=0): OrderedDict([('words', None), ('images', 'Pictures/1080.jpg')])
8.6284 	EXP 	slider_valence: autoLog = True
8.6284 	EXP 	slider_valence: markerPos = None
8.6284 	EXP 	slider_valence: rating = None
8.6284 	EXP 	slider_valence: markerPos = None
8.6284 	EXP 	unnamed Circle: contrast = 1.0
8.6284 	EXP 	unnamed GratingStim: contrast = 1.0
8.6284 	EXP 	slider_valence: contrast = 1.0
8.6284 	EXP 	slider_valence: autoLog = True
8.6284 	EXP 	slider_valence: style = ['rating']
8.6284 	EXP 	slider_arousal: autoLog = True
8.6284 	EXP 	slider_arousal: markerPos = None
8.6284 	EXP 	slider_arousal: rating = None
8.6284 	EXP 	slider_arousal: markerPos = None
8.6284 	EXP 	unnamed Circle: contrast = 1.0
8.6284 	EXP 	unnamed GratingStim: contrast = 1.0
8.6284 	EXP 	slider_arousal: contrast = 1.0
8.6284 	EXP 	slider_arousal: autoLog = True
8.6284 	EXP 	slider_arousal: style = ['rating']
8.6284 	EXP 	text_6: text = 'default text'
8.6284 	EXP 	image_1: image = 'Pictures/1080.jpg'
8.6284 	EXP 	slider_valence: markerPos = None
8.6284 	EXP 	slider_valence: markerPos = None
8.6284 	EXP 	slider_valence: rating = None
8.6284 	EXP 	text_6: autoDraw = True
8.6284 	EXP 	image_1: autoDraw = True
8.6284 	EXP 	ValenceImg: autoDraw = True
8.6284 	EXP 	slider_valence: autoDraw = True
8.6284 	EXP 	text: autoDraw = True
8.6284 	EXP 	text_3: autoDraw = True
267.2974 	DATA 	Keypress: escape
267.5929 	EXP 	window1: mouseVisible = True
